id,wgn_id,month,tmp_max_ave,tmp_min_ave,tmp_max_sd,tmp_min_sd,pcp_ave,pcp_sd,pcp_skew,wet_dry,wet_wet,pcp_days,pcp_hhr,slr_ave,dew_ave,wnd_ave
1,58345,1,7.230000019,-0.090000004,9.420000076,6.070000172,28.75,2.32130003,3.09920001,0.173899993,0.5,8,1.799999952,6.610000134,-1.309999943,1.625
2,58345,2,8.340000153,2.039999962,16.97999954,8.729999542,88.90000153,6.56799984,2.451699972,0.388300002,0.528299987,13.25,3.400000095,8.56000042,1.480000019,2.150000095
3,58345,3,15.30000019,6.139999866,24.03000069,13.56999969,80.47000122,5.310100079,2.610599995,0.219500005,0.576200008,10.5,4.199999809,14.13000011,4.920000076,2.174999952
4,58345,4,22.06999969,11.97000027,28.76000023,19.45999908,91.41999817,7.412399769,3.58859992,0.25,0.5,10,10.19999981,18.93000031,10.96000004,2.025000095
5,58345,5,27.14999962,17.81999969,30.14999962,22.53000069,92.73000336,8.404000282,4.672599792,0.243599996,0.565199971,11.5,13,20.13999939,16.59000015,1.950000048
6,58345,6,28.73999977,21.82999992,34.25999832,26.12999916,180.4499969,17.34469986,3.959100008,0.289900005,0.568599999,12.75,17.39999962,15.72000027,21.36000061,1.850000024
7,58345,7,33.49000168,25.81999969,32.91999817,25.52000046,200.7700043,15.48270035,2.724600077,0.182899997,0.571399987,10.5,64.19999695,20.70000076,24.70000076,1.799999952
8,58345,8,32.27000046,25.28000069,27.97999954,20.79999924,219.2799988,18.14550018,4.365799904,0.338699996,0.612900019,15.5,56.20000076,17.71999931,24.67000008,1.924999952
9,58345,9,27.32999992,20.45999908,23.94000053,15.78999996,82.83000183,8.078000069,4.940199852,0.243900001,0.447400004,9.5,10.39999962,14.81999969,19.85000038,1.799999952
10,58345,10,23.07999992,14.64999962,18.13999939,10.31999969,49.40000153,5.618599892,4.946499825,0.161300004,0.483900011,7.75,9.800000191,12.60999966,14.43000031,1.649999976
11,58345,11,17.32999992,9.069999695,11.02000046,8.239999771,53.11999893,6.434299946,7.73789978,0.231700003,0.473699987,9.5,3.799999952,7.900000095,9.149999619,1.600000024
12,58345,12,9.069999695,1.049999952,6.03000021,7.230000019,36.83000183,3.438299894,3.326999903,0.0792,0.565199971,5.75,3.400000095,6.070000172,-0.01,1.674999952
13,111,1,9.619999886,0.810000002,7.389999866,4.420000076,25.5,2.203200102,3.285000086,0.195700005,0.4375,8,1.799999952,8.420000076,-0.200000003,1.539999962
14,111,2,8.600000381,2.049999952,7.989999771,6.159999847,135.6000061,7.271299839,1.677700043,0.611100018,0.684199989,19,3.400000095,7.210000038,3.599999905,1.50999999
15,111,3,17.28000069,7.059999943,8.68999958,6.360000134,79.5,6.178100109,3.798700094,0.292699993,0.333299994,10.5,3.599999905,12.82999992,6.21999979,1.25999999
16,111,4,21.01000023,11.22000027,6.789999962,4.519999981,133.6000061,10.47430038,4.417099953,0.277799994,0.583299994,12,10.19999981,15.19999981,9.5,1.450000048
17,111,5,26.45000076,17.31999969,6.400000095,4.119999886,155.8999939,11.0649004,3.194999933,0.277799994,0.615400016,13,13,15.63000011,16.51000023,1.809999943
18,111,6,28.11000061,20.03000069,5.739999771,3.220000029,145,13.30130005,3.984400034,0.200000003,0.639999986,12.5,17.39999962,13.14999962,21.40999985,1.769999981
19,111,7,33.22999954,24.25,4.980000019,2.880000114,289.6000061,21.87380028,2.878599882,0.142900005,0.649999976,10,64.19999695,13.01000023,24.98999977,1.429999948
20,111,8,32.45000076,23.78000069,6.090000153,2.940000057,151.3000031,14.53450012,5.903900146,0.323500007,0.571399987,14,56.20000076,13.5,24.42000008,0.769999981
21,111,9,27.46999931,19.35000038,5.789999962,3.690000057,70.59999847,5.126100063,6,0.321399987,0.6875,16,10.39999962,11.44999981,20.71999931,0.649999976
22,111,10,23.37999916,13.72999954,4.920000076,4.380000114,77.5,9.836799622,2.903599977,0.0612,0.692300022,6.5,9.800000191,12.38000011,14.06999969,0.680000007
23,111,11,16.73999977,8.180000305,5.760000229,4.760000229,28.29999924,2.109899998,2.960999966,0.227300003,0.842100024,19,3.799999952,8.369999886,7.730000019,0.460000008
24,111,12,9.079999924,0.439999998,5.170000076,4.079999924,46.5,5.350900173,4.327700138,0.078900002,0.875,12,3.400000095,8.640000343,-2.569999933,0.479999989
